Sample_ID,site,plot.unq,n.treat,label,weevil,succession,weevil_succ,weevil_site,block,block_,leaf_d15n,leaf_d13c,leaf_c,leaf_n,21_d13c,21_mg.c.gsoil,21_d15n,21_mg.n.gsoil,18_mg.c.gsoil,18_mg.n.gsoil,18_c.mg.m2,18_n.mg.m2,litter_kg_m2_mean,herb_kg_m2_mean,som_kg_m2_mean,litter_kg_m2_std.error,herb_kg_m2_std.error,som_kg_m2_std.error,pH2019,percent.moist2019,bd.cores.g.cm3.2021,bd.pits.g.cm3.2018,sum.13,sum.14,sum.21,numberwillow,numberother,totalnumber,willowstemdiam,otherstemdiam,totalstemdiam,plantcoverwillow,plantcoverallwoody,plantcover.std.error
E11S,East,11_,0kgN,East11NW0,NW,Primary,PrimaryNW,EastNW,2,2_,-2.29,-29.08,52.82,1.7,-28.37,5.3,-0.59,0.335216461,2.698055185,0.207170864,0.006745138,0.000517927,2.251111111,0.076111111,0.065333333,0.410034956,0.015986708,0.01306368,5.49,9.27,1.47,1.289,183.2,264.0979864,546.4,4,0,4,546.414854,0,546.414854,2.95625,2.95625,0.587134195
E14S,East,14_,0kgN,East14NW0,NW,Primary,PrimaryNW,EastNW,3,3_,-3.87,-28.02,45.46,1.74,-28.6,6.3,-1.71,0.348270613,1.536445875,0.126269625,0.003841115,0.000315674,2.04925,0.06325,0.03735,0.677776394,0.015284569,0.01060321,5.68,13.74,1.4,1.43,133.6,155.1946771,333.1,5,0,5,415.47178,0,415.47178,2.2625,2.2625,0.365782552
E1S,East,1_,0kgN,East1NW0,NW,Primary,PrimaryNW,EastNW,1,1_,-2.12,-28.68,52.04,1.67,-28.46,10.3,-0.31,0.307796497,5.28766481,0.327668481,0.013219162,0.000819171,1.924,0.0625,0.0255,0.313335816,0.011931518,0.007956479,5.72,7.38,1.39,1.268,154.6,348.7953244,426.3,5,4,9,568.6083997,123.1484685,691.7568683,2.6425,8.9175,0.369133275
E15S,East,15_,16kgN,East15NW16,NW,Primary,PrimaryNW,EastNW,3,3_,-1.48,-28.49,49.77,1.93,-27.4,10.9,-1.58,0.57409009,2.553320667,0.213698444,0.006383302,0.000534246,3.955,0.105277778,0.061777778,0.983179455,0.033230164,0.020077473,5.55,14.29,1.41,1.122,24.1,44.85408911,118.7,5,0,5,132.4617985,0,132.4617985,1.4325,1.4325,0.256679518
E9S,East,9_,16kgN,East9NW16,NW,Primary,PrimaryNW,EastNW,2,2_,-1.45,-27.71,45.06,1.86,-28.15,4.7,-0.31,0.328978995,5.111258667,0.389800444,0.012778147,0.000974501,3.33055,0.07875,0.04215,1.1403545,0.020416667,0.008361967,5.71,12.23,1.44,1.264,67.7,285.3587147,283.9,7,0,7,495.7311471,0,495.7311471,2.5625,2.5625,0.387960556
E17S,East,17_,8kgN,East17NW8,NW,Primary,PrimaryNW,EastNW,3,3_,-3.72,-28.64,50.32,1.26,-27.48,7.4,-1.09,0.308823801,3.295660588,0.233716029,0.008239151,0.00058429,4.02325,0.037,0.038225,0.90677175,0.006622772,0.023091017,5.63,10.31,1.28,1.298,52.4,90.49357639,379.2,5,1,6,365.1107931,34.99239415,400.1031873,2.0825,3.495,0.122703912
E7S,East,7_,8kgN,East7NW8,NW,Primary,PrimaryNW,EastNW,2,2_,-2.89,-28.62,60.8,2,-28.64,8.6,0.14,0.275777561,5.626590448,0.360926716,0.014066476,0.000902317,1.65475,0.07125,0.04435,0.259276625,0.012595469,0.01058643,5.94,11.48,1.27,1.179,124.6,308.5986464,623.5,8,2,10,840.0661953,18.83581145,858.9020067,2.7515625,5.1015625,0.343631778
E10S,East,10_,0kgN,East10W0,W,Primary,PrimaryW,EastW,2,2_,-2.99,-29.34,48.5,1.96,-28.34,3.2,-0.07,0.259746171,3.3590622,0.2580559,0.008397656,0.00064514,0.9915,0.03275,0.0081,0.146183484,0.008671873,0.003148015,5.36,10.25,1.18,1.434,51.5,86.20530241,19.2,3,1,4,34.22553139,8.270242661,42.49577405,1.1125,1.8,0.108972474
E18S,East,18_,0kgN,East18W0,W,Primary,PrimaryW,EastW,3,3_,-4.61,-27.8,45.9,1.56,-28.11,4.8,-1.88,0.333867661,4.6838721,0.2263881,0.01170968,0.00056597,2.342272727,0.018181818,0.002977273,0.634470113,0.004839362,0.002245312,5.78,9.42,1.2,1.434,57.9,95.81857593,48.3,5,1,6,109.3377131,85.19999277,194.5377058,1.555,5.23,0.079902284
E5S,East,5_,0kgN,East5W0,W,Primary,PrimaryW,EastW,1,1_,-4.07,-28.65,41.58,1.28,-27.96,9.3,-1.45,0.863388076,3.969998182,0.30501697,0.009924995,0.000762542,1.8125,0.0255,0.0085,0.524276088,0.00834832,0.002587362,5.94,12.86,1.47,1.327,161.9,185.5503161,65.5,5,2,7,65.46105196,6.271404335,71.7324563,1.1175,1.1175,0.147775167
E12S,East,12_,16kgN,East12W16,W,Primary,PrimaryW,EastW,2,2_,-2.13,-28.37,58.87,1.55,-28.55,4.7,-2.28,0.44907286,3.021212344,0.207556719,0.007553031,0.000518892,3.115227273,0.012954545,0.003977273,0.685595002,0.005176632,0.002361734,5.84,10.38,1.28,1.237,12.5,79.45087821,62.6,4,1,5,62.53135973,4.476769531,67.00812927,1.4125,1.85,0.118035129
E13S,East,13_,16kgN,East13W16,W,Primary,PrimaryW,EastW,3,2_,-1.95,-27.66,46.78,1.63,-27.28,3.3,-1.11,0.255967078,2.733597188,0.196454844,0.006833993,0.000491137,2.8915,0.02775,0.002325,0.812562066,0.010829807,0.001057414,5.48,12.95,1.3,0.992,19.5,33.37942194,13.9,2,4,6,13.95652536,35.12999591,49.08652127,0.60625,3.93125,0.13125
E6S,East,6_,16kgN,East6W16,W,Primary,PrimaryW,EastW,1,1_,-2.25,-28.23,45.07,1.85,-28.71,7.8,-2.38,0.483162268,3.32331455,0.28186348,0.008308286,0.000704659,3.262083333,0.032916667,0.020416667,0.625182915,0.006160982,0.007960802,5.64,13.48,1.15,1.145,122.2,183.9166879,251,10,2,12,396.0990703,34.54377472,430.6428451,1.9175,4.8925,0.169416892
E16S,East,16_,8kgN,East16W8,W,Primary,PrimaryW,EastW,3,3_,-2.6,-27.25,43.26,1.57,-27.7,6.1,-1.87,0.365190157,3.8377485,0.2533382,0.009594371,0.000633346,1.608611111,0.023611111,0.009055556,0.432636281,0.007047841,0.00360333,5.87,8.22,1.6,1.392,40,64.62256088,12.6,1,0,1,0,0,0,0,0,0
E4S,East,4_,8kgN,East4W8,W,Primary,PrimaryW,EastW,1,1_,-2.67,-27.8,50.86,1.63,-27.11,5.6,-0.71,0.411320755,6.780492371,0.434136701,0.016951231,0.001085342,3.7495,0.029,0.00635,0.678114092,0.006934215,0.002198548,5.58,12.46,1.48,1.111,48.7,51.7027611,15.1,0,0,0,0,0,0,0,0,0
E8S,East,8_,8kgN,East8W8,W,Primary,PrimaryW,EastW,2,2_,-1.78,-28.31,46.97,1.94,-27.64,4.1,-2.01,0.971670244,5.624192286,0.409972952,0.014060481,0.001024932,1.353636364,0.030227273,0.006977273,0.159285109,0.005715356,0.002999328,5.76,12.43,0.83,1.165,57.5,62.94180881,10.2,1,2,3,10.18857767,8.209295763,18.39787344,1.3,2.1125,0
H3S,Harmony,3_,0kgN,Harmony3NW0,NW,Secondary,SecondaryNW,HarmonyNW,7,7_,-4.71,-29.11,47.1,1.93,-27.65,4.5,-3.05,0.243072,,,,,,,,,,,5.43,16.06,1.0576,1.0576,173.3,376.2371362,775.9,,,,,,,,,
H5S,Harmony,5_,0kgN,Harmony5NW0,NW,Secondary,SecondaryNW,HarmonyNW,8,8_,-6.02,-28.79,46.17,1.65,-27.7,5.4,-3.27,0.232968421,,,,,,,,,,,5.87,14.35,1.232,1.232,460,540.5974098,606.7,,,,,,,,,
H9S,Harmony,9_,0kgN,Harmony9NW0,NW,Secondary,SecondaryNW,HarmonyNW,9,9_,-6.4,-28.5,45.01,1.31,-26.76,7,-3.79,0.262970018,,,,,,,,,,,5.64,14.14,0.9472,0.9472,391.5,398.6209839,709.4,,,,,,,,,
H12S,Harmony,12_,16kgN,Harmony12NW16,NW,Secondary,SecondaryNW,HarmonyNW,9,9_,-4.44,-28.14,51.18,2.42,-27.27,7.2,-4.52,0.251834962,,,,,,,,,,,5.68,12.63,0.7472,0.7472,211.2,249.6073903,551.9,,,,,,,,,
H4S,Harmony,4_,16kgN,Harmony4NW16,NW,Secondary,SecondaryNW,HarmonyNW,7,7_,-3.57,-27.28,46.97,2.06,-26.65,11.5,-3.17,0.333568,,,,,,,,,,,5.5,16.84,0.956,0.956,295.7,366.6945485,704.9,,,,,,,,,
H7S,Harmony,7_,16kgN,Harmony7NW16,NW,Secondary,SecondaryNW,HarmonyNW,8,8_,-4.32,-27.99,46.05,2.16,-27.68,14.9,-3.85,0.514457971,,,,,,,,,,,5.45,15.28,1.0112,1.0112,342.9,486.3499587,727.1,,,,,,,,,
H10S,Harmony,10_,0kgN,Harmony10W0,W,Secondary,SecondaryW,HarmonyW,9,9_,-3.06,-28.27,43.61,1.61,-27.53,5.5,-3.15,0.281166971,,,,,,,,,,,5.65,13.26,0.9528,0.9528,340.4,315.2431148,485.6,,,,,,,,,
H1S,Harmony,1_,0kgN,Harmony1W0,W,Secondary,SecondaryW,HarmonyW,7,7_,-3.55,-27.97,49.5,2.1,-27.28,7.3,-2.52,0.337610365,,,,,,,,,,,5.47,13.79,0.8704,0.8704,201.3,236.9938958,305.5,,,,,,,,,
H8S,Harmony,8_,0kgN,Harmony8W0,W,Secondary,SecondaryW,HarmonyW,8,8_,-4.83,-28.51,48.78,2.05,-27.22,3.6,-4.12,0.166815844,,,,,,,,,,,5.66,14.52,0.8936,0.8936,160.2,244.5729881,611.3,,,,,,,,,
H11S,Harmony,11_,16kgN,Harmony11W16,W,Secondary,SecondaryW,HarmonyW,9,9_,-5.99,-28.87,50.31,1.84,-28.08,3.1,-3.73,0.156779039,,,,,,,,,,,5.5,13.45,1.2072,1.2072,190.2,180.8536351,549.8,,,,,,,,,
H2S,Harmony,2_,16kgN,Harmony2W16,W,Secondary,SecondaryW,HarmonyW,7,7_,-4,-28.52,49.66,1.92,-27.46,9.1,-2.46,0.32736,,,,,,,,,,,5.6,12.86,1.2072,1.2072,142.8,274.5751979,233.5,,,,,,,,,
H6S,Harmony,6_,16kgN,Harmony6W16,W,Secondary,SecondaryW,HarmonyW,8,8_,-4.47,-27.35,42.8,2.02,-27.71,10,-3.35,0.377537561,,,,,,,,,,,5.47,15.93,1.0048,1.0048,81.2,117.0243263,152.7,,,,,,,,,
N12S,Norway,12_,0kgN,Norway12NW0,NW,Secondary,SecondaryNW,NorwayNW,12,12_,-5.33,-28.09,41.65,1.39,-28.16,16.7,-5.35,0.163564568,,,,,,,,,,,5.88,12.05,1.0856,1.0856,257.5,309.5254162,382.4,,,,,,,,,
N3S,Norway,3_,0kgN,Norway3NW0,NW,Secondary,SecondaryNW,NorwayNW,10,10_,-6.31,-29.82,54.94,1.75,-28.2,9.9,-3.67,0.392697531,,,,,,,,,,,5.32,16.83,1.1704,1.1704,61.1,87.24202799,150.5,,,,,,,,,
N6S,Norway,6_,0kgN,Norway6NW0,NW,Secondary,SecondaryNW,NorwayNW,11,11_,-6.43,-28.56,45.02,1.31,-27.04,4.7,-2.91,0.16399211,,,,,,,,,,,5.7,11.82,1.0184,1.0184,166.7,247.2983197,399.9,,,,,,,,,
N11S,Norway,11_,16kgN,Norway11NW16,NW,Secondary,SecondaryNW,NorwayNW,12,12_,-2.66,-28.6,53.3,1.99,-26.83,10,-2.05,0.437870206,,,,,,,,,,,5.78,19.89,0.8056,0.8056,174.2,446.2004046,1000.4,,,,,,,,,
N1S,Norway,1_,16kgN,Norway1NW16,NW,Secondary,SecondaryNW,NorwayNW,10,10_,-3.22,-28.88,50.21,1.38,-27.96,7.6,-2.97,0.290324786,,,,,,,,,,,5.52,13.05,0.8744,0.8744,186.4,306.203182,327.5,,,,,,,,,
N5S,Norway,5_,16kgN,Norway5NW16,NW,Secondary,SecondaryNW,NorwayNW,11,11_,-6.08,-28.55,56.55,1.75,-26.98,8.1,-2.93,0.30310387,,,,,,,,,,,5.82,15.42,0.7792,0.7792,108.4,162.5381499,192.7,,,,,,,,,
N10S,Norway,10_,0kgN,Norway10W0,W,Secondary,SecondaryW,NorwayW,12,12_,-2.4,-27.59,50.21,1.04,-27.81,11.8,-2.57,0.56884512,,,,,,,,,,,5.7,10.45,0.8456,0.8456,244.5,353.7904567,621.1,,,,,,,,,
N4S,Norway,4_,0kgN,Norway4W0,W,Secondary,SecondaryW,NorwayW,10,10_,-7.34,-28.65,46.5,1.36,-27.85,8,-2.27,0.325208333,,,,,,,,,,,5.7,15.23,1.1704,1.1704,206.5,260.2137213,611.2,,,,,,,,,
N7S,Norway,7_,0kgN,Norway7W0,W,Secondary,SecondaryW,NorwayW,11,11_,-6.02,-28.74,45.32,1.52,-27.21,5.3,-2.53,0.237796875,,,,,,,,,,,5.23,14.96,0.7344,0.7344,65.1,82.70242661,158.2,,,,,,,,,
N2S,Norway,2_,16kgN,Norway2W16,W,Secondary,SecondaryW,NorwayW,10,10_,-5.09,-28.79,46.75,1.79,-27.44,12.2,-2.87,0.329176068,,,,,,,,,,,5.71,15.12,0.8712,0.8712,84.7,206.0177922,119.1,,,,,,,,,
N8S,Norway,8_,16kgN,Norway8W16,W,Secondary,SecondaryW,NorwayW,11,11_,-4.43,-28.59,38.04,1.47,-27.37,7.8,-4.09,0.351659049,,,,,,,,,,,5.6,14.4,0.936,0.936,114,247.1019702,372.8,,,,,,,,,
N9S,Norway,9_,16kgN,Norway9W16,W,Secondary,SecondaryW,NorwayW,12,12_,-5.53,-28.53,49.57,1.22,-27.99,4.9,-2.82,0.301193232,,,,,,,,,,,5.64,16.71,1.0984,1.0984,219.7,294.7834927,478.9,,,,,,,,,
W14S,West,14_,0kgN,West14NW0,NW,Primary,PrimaryNW,WestNW,6,6_,-4.37,-29.56,50.41,1.52,-28.33,3.3,-2.15,0.192282027,1.422632625,0.099195375,0.003556582,0.000247988,3.176666667,0.233333333,0.0775,0.715352963,0.022047928,0.015,5.88,13.21,1.24,1.535,155.3,133.2192365,281.5,8,0,8,281.6244606,0,281.6244606,1.79375,1.79375,0.129774874
